Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"SJ Lee","An analysis on the mental health of adolescent addicted to smartphone",2018,"Journal of Youth Welfare","researchgate.net","https://www.researchgate.net/profile/Lee-Sangjune/publication/328426501_An_Analysis_on_the_Mental_Health_of_Adolescent_Addicted_to_Smartphone/links/5f4e13d2a6fdcc14c5054181/An-Analysis-on-the-Mental-Health-of-Adolescent-Addicted-to-Smartphone.pdf","https://scholar.google.com/scholar?cites=7377844382209257111&as_sdt=2005&sciodt=2007&hl=en",72,"2026-04-01 00:54:51","PDF","","",,,,,,25,3.13,25,1,8,"… situation of smartphone addiction among adolescents, and the difference of psychiatric symptoms between normal smartphone youth users and youth users addicted to smartphone. …","https://www.researchgate.net/profile/Lee-Sangjune/publication/328426501_An_Analysis_on_the_Mental_Health_of_Adolescent_Addicted_to_Smartphone/links/5f4e13d2a6fdcc14c5054181/An-Analysis-on-the-Mental-Health-of-Adolescent-Addicted-to-Smartphone.pdf","https://scholar.google.com/scholar?q=related:l66xSWBeY2YJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
0,"R Fiedler, J Geber, M Kellmann","Functional and Dysfunctional Smartphone Usage Patterns and Mental Health—Evaluation of a Brief Intervention in Adolescent and Young Adult Athletes",2025,"Journal of Clinical …","journals.humankinetics.com","https://journals.humankinetics.com/view/journals/jcsp/aop/article-10.1123-jcsp.2024-0018/article-10.1123-jcsp.2024-0018.xml","",73,"2026-04-01 00:54:51","","","",,,,,,0,0.00,0,3,1,"While digital media take a prominent role in sport and everyday life, they may impair young athletes’ mental health through dysfunctional social comparison, impaired sleep, and media …","","https://scholar.google.com/scholar?q=related:7E120Q3TNBAJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
131,"B Swar, T Hameed","Fear of missing out, social media engagement, smartphone addiction and distraction: Moderating role of self-help mobile apps-based interventions in the youth",2017,"International conference on health informatics","scitepress.org","https://www.scitepress.org/PublishedPapers/2017/61665/","https://scholar.google.com/scholar?cites=14297315059091247085&as_sdt=2005&sciodt=2007&hl=en",74,"2026-04-01 00:54:51","","","",,,,,,131,14.56,66,2,9,"… use of smartphone has been linked with several issues including mental well-being. … and protect them from potential risks to mental health. This paper uses self-determination theory to …","https://www.scitepress.org/PublishedPapers/2017/61665/61665.pdf","https://scholar.google.com/scholar?q=related:7Q_6uktEasYJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
53,"Z Yang, K Asbury, MD Griffiths","“A cancer in the minds of youth?” A qualitative study of problematic smartphone use among undergraduate students",2021,"International Journal of Mental Health and …","Springer","https://link.springer.com/article/10.1007/s11469-019-00204-z","https://scholar.google.com/scholar?cites=8189296394804080634&as_sdt=2005&sciodt=2007&hl=en",75,"2026-04-01 00:54:51","HTML","10.1007/s11469-019-00204-z","",,,,,,53,10.60,18,3,5,"… smartphone use (PSU) is associated with mental health problems including anxiety in … This qualitative study explored attitudes towards—and self-reported impacts of—smartphone use …","https://link.springer.com/article/10.1007/s11469-019-00204-z","https://scholar.google.com/scholar?q=related:-i-vrK45pnEJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
4,"J Alkorta","The Impact of Long-Term Smartphone Use on Adolescent Mental Health: A Longitudinal Study.",2023,"Archives of Clinical Psychiatry","","","https://scholar.google.com/scholar?cites=2961979442424222717&as_sdt=2005&sciodt=2007&hl=en",76,"2026-04-01 00:54:51","CITATION","","",,,,,,4,1.33,4,1,3,"","https://archivespsy.com/menu-script/index.php/ACF/article/download/2145/1745","https://scholar.google.com/scholar?q=related:_ZO0EZwQGykJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
9,"MA Alvarez de Mon, A Sánchez-Villegas…","Screen exposure, mental health and emotional well-being in the adolescent population: is it time for governments to take action?",2024,"… of Epidemiology and …","jech.bmj.com","https://jech.bmj.com/content/78/12/759.abstract","https://scholar.google.com/scholar?cites=12999141213476170667&as_sdt=2005&sciodt=2007&hl=en",77,"2026-04-01 00:54:51","","","",,,,,,9,4.50,3,3,2,"… smartphone use in teenagers, with highly addictive potential, coining the term ‘problematic smartphone … impact of these exposures on adolescent mental health. The importance of these …","","https://scholar.google.com/scholar?q=related:qytjrg86ZrQJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
27,"N Park, H Oh","Impact of adolescent life stress and smartphone use on academic impairment: focusing on the effect of parent involvement on adolescents' smartphone …",2016,"The Journal of the Korea Contents …","The Korea Contents Association","","https://scholar.google.com/scholar?cites=13943520418205673245&as_sdt=2005&sciodt=2007&hl=en",78,"2026-04-01 00:54:51","CITATION","","",,,,,,27,2.70,14,2,10,"","","https://scholar.google.com/scholar?q=related:HSeOxfFVgcEJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
1,"DD Aristo, B Srinivasan","Identifying Adolescent Behavioral Profiles Through K-Means Clustering Based on Smartphone Usage, Mental Health, and Academic Performance",2025,"International Journal of Informatics and Information …","ijiis.org","http://ijiis.org/index.php/IJIIS/article/view/231","https://scholar.google.com/scholar?cites=608525612168762747&as_sdt=2005&sciodt=2007&hl=en",79,"2026-04-01 00:54:51","","","",,,,,,1,1.00,1,2,1,"… This study applies a data-driven approach to segment adolescent smartphone usage behavior using the K-Means clustering algorithm within the Knowledge Discovery in Databases (…","https://ijiis.org/index.php/IJIIS/article/download/231/154","https://scholar.google.com/scholar?q=related:e9UL9tHqcQgJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
45,"L MacLeod, B Suruliraj, D Gall…","A mobile sensing app to monitor youth mental health: observational pilot study",2021,"JMIR mHealth and …","mhealth.jmir.org","https://mhealth.jmir.org/2021/10/e20638","https://scholar.google.com/scholar?cites=9638187878436519086&as_sdt=2005&sciodt=2007&hl=en",80,"2026-04-01 00:54:51","HTML","","",,,,,,45,9.00,11,4,5,"… smartphone sensor data can be used to predict internalizing symptoms among youth in … discriminative validity of smartphone biomarkers observed among adults in a youth sample [51]. …","https://mhealth.jmir.org/2021/10/e20638","https://scholar.google.com/scholar?q=related:rjyvZM-4wYUJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
2,"K Clark, K Phillips, E Park, A Argiros…","… , and acceptability of a smartphone-based ecological momentary assessment of minority stress and suicidal ideation among sexual and gender minority youth",2025,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0330204","https://scholar.google.com/scholar?cites=14013091621688897594&as_sdt=2005&sciodt=2007&hl=en",81,"2026-04-01 00:54:51","HTML","","",,,,,,2,2.00,0,5,1,"Objective We sought to develop and assess the feasibility and acceptability of a smartphone-based ecological momentary assessment (EMA) study of minority stress and suicidal …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0330204","https://scholar.google.com/scholar?q=related:OvDE25WAeMIJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
8,"A Nawi, FA Zameran","Exploring the relationship between smartphone use and adolescent well-being: a systematic literature review",2022,"… and Virtual Mobile Networks: Proceedings of ICICV …","Springer","https://link.springer.com/chapter/10.1007/978-981-19-1844-5_36","https://scholar.google.com/scholar?cites=11775349311920603570&as_sdt=2005&sciodt=2007&hl=en",82,"2026-04-01 00:54:51","","10.1007/978-981-19-1844-5_36","",,,,,,8,2.00,4,2,4,"… relationships of smartphone use on adolescent well-being. … relationships of smartphone use on adolescent well-being. … identified that can affect the well-being of adolescents. The four …","","https://scholar.google.com/scholar?q=related:sgEri89xaqMJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
4,"R Ma, K Min, Z Meng, J Yang, H Zhang, Q Li","… effects of smartphone addiction in the association between mental disorders and eating disorders: findings from a nationwide survey among Chinese youth",2025,"BMC Public Health","Springer","https://link.springer.com/article/10.1186/s12889-025-23608-0","https://scholar.google.com/scholar?cites=17862969786868690917&as_sdt=2005&sciodt=2007&hl=en",83,"2026-04-01 00:54:51","HTML","10.1186/s12889-025-23608-0","",,,,,,4,4.00,1,6,1,"… Furthermore, most of the variables in our studies, such as depression, smartphone addiction, and eating disorders, are psychological variables that cannot be directly observed. Instead, …","https://link.springer.com/article/10.1186/s12889-025-23608-0","https://scholar.google.com/scholar?q=related:5e_XC2EE5vcJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
0,"Y Zhu, A Xue, Z Wang, Q Wang, X Luo","How does parental psychological control influence adolescent depression? A sequential mediation and network analysis of smartphone addiction and sleep …",2026,"BMC Public Health","Springer","https://link.springer.com/article/10.1186/s12889-025-26049-x","",84,"2026-04-01 00:54:51","HTML","10.1186/s12889-025-26049-x","",,,,,,0,0.00,0,5,1,"… key mediating role in the link between problematic smartphone use and adolescent depression [45]. Adolescents with higher smartphone addiction levels tend to report greater insomnia…","https://link.springer.com/article/10.1186/s12889-025-26049-x","https://scholar.google.com/scholar?q=related:d5hP6FBfjf8J:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
14,"MS Sifat, N Tasnim, K Stoebenau…","A qualitative exploration of university student perspectives on mindfulness-based stress reduction exercises via smartphone app in Bangladesh",2022,"… on health and well-being","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17482631.2022.2113015","https://scholar.google.com/scholar?cites=16184588014467874674&as_sdt=2005&sciodt=2007&hl=en",85,"2026-04-01 00:54:51","","10.1080/17482631.2022.2113015","",,,,,,14,3.50,4,4,4,"… found that these led to significantly lower depression levels, anxiety and stress symptoms, higher mindfulness levels, and quality of life/well-being levels than control conditions; however…","https://www.tandfonline.com/doi/pdf/10.1080/17482631.2022.2113015","https://scholar.google.com/scholar?q=related:cv9mrgw1m-AJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
120,"J Cain","It's time to confront student mental health issues associated with smartphones and social media",2018,"American journal of pharmaceutical education","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC6181159/","https://scholar.google.com/scholar?cites=3602204389549782507&as_sdt=2005&sciodt=2007&hl=en",86,"2026-04-01 00:54:51","HTML","","",,,,,,120,15.00,120,1,8,"… society has created substantial negative effects on today’s youth. She correlates the rise in depression and anxiety with the rise in smartphone and social media use, citing a trend that …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6181159/","https://scholar.google.com/scholar?q=related:67V3l86Z_TEJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
56,"J Kim, K Lee","The association between physical activity and smartphone addiction in Korean adolescents: the 16th Korea youth risk behavior web-based survey, 2020",2022,"Healthcare","mdpi.com","https://www.mdpi.com/2227-9032/10/4/702","https://scholar.google.com/scholar?cites=7808420709495930589&as_sdt=2005&sciodt=2007&hl=en",87,"2026-04-01 00:54:51","HTML","","",,,,,,56,14.00,28,2,4,"… it was reported that the risk of smartphone addiction had a negative effect on … depression, loneliness, and stress comprised the highest percentage in the high-risk group for smartphone …","https://www.mdpi.com/2227-9032/10/4/702","https://scholar.google.com/scholar?q=related:3f5OtkMVXWwJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
